# date: 06-Jun-2025 09:40:32
# dateEnd: 06-Jun-2025 13:26:23
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: examples

                             fname                            ; ok ;    seed    ;   time  ; checkTime 
 example_taylm                                                ;  1 ;  640566343 ;    0.83 ;         1 
 example_zonoBundle                                           ;  1 ;  646430345 ;    0.15 ;         1 
 example_zonotope                                             ;  1 ; 3490287502 ;    0.15 ;         1 
 example_zoo                                                  ;  1 ;  431103015 ;    0.15 ;         1 
 example_polyZonotope_relaxExponents                          ;  1 ; 2924901049 ;    0.55 ;         1 
 example_zonotope_minkDiff                                    ;  1 ; 2221603099 ;   55.95 ;         1 
 example_commonocean2cora_ZAM                                 ;  1 ; 3817960836 ;    2.34 ;         1 
 example_converter_powerSystem2cora_IEEE30                    ;  1 ; 2926854934 ;   12.18 ;         1 
 example_converter_powerSystem2cora_all                       ;  1 ; 4022567614 ;    0.03 ;         1 
 example_converter_powerSystem2cora_specs                     ;  1 ;  362718609 ;    0.03 ;         1 
 example_probOccupancyPrediction_carReachCircles              ;  1 ;  964684746 ;    0.19 ;         1 
 example_probOccupancyPrediction_road_01_braking              ;  1 ;  852304647 ;   13.28 ;         1 
 example_testCase_ACC2012Test                                 ;  1 ; 2978395852 ;   11.77 ;         1 
 example_testCase_Pellegrini2009Test                          ;  1 ; 3930329867 ;    0.57 ;         1 
 example_CORAtable                                            ;  1 ; 3198701764 ;    0.69 ;         1 
 example_hybrid_reach_01_bouncingBall                         ;  1 ; 3683644674 ;    2.14 ;         1 
 example_hybrid_reach_02_powerTrain                           ;  1 ; 1926403605 ;   48.04 ;         1 
 example_hybrid_reach_03_PLLnoSat                             ;  1 ;  421317744 ;   44.71 ;         1 
 example_hybrid_reach_04_spacecraft                           ;  1 ;  476714681 ;   77.44 ;         1 
 example_hybrid_reach_05_roomHeating                          ;  1 ; 2693007988 ;   36.22 ;         1 
 example_hybrid_reach_06_bouncingBallSineWave                 ;  1 ; 3226488454 ;   39.33 ;         1 
 example_parallel_hybrid_01_neuralNetwork                     ;  1 ; 4175333802 ;   43.68 ;         1 
 example_parallel_hybrid_02_lowPassFilter                     ;  1 ; 4034899633 ;   48.03 ;         1 
 example_parallel_hybrid_03_roomHeating                       ;  1 ;  307488881 ;   42.06 ;         1 
 example_manual_contract                                      ;  1 ; 1117450826 ;    0.59 ;         1 
 example_manual_globVerMinimization                           ;  1 ; 1689508149 ;    5.90 ;         1 
 example_manual_intKaucher                                    ;  1 ; 4201165232 ;    0.05 ;         1 
 example_manual_neuralNetwork                                 ;  1 ; 2697484889 ;    0.08 ;         1 
 example_manual_specification                                 ;  1 ; 2495376082 ;    0.16 ;         1 
 example_manual_stl                                           ;  1 ; 3997021034 ;    0.02 ;         1 
 example_manual_taylm_composition                             ;  1 ; 1721530777 ;    0.09 ;         1 
 example_manual_taylm_interval                                ;  1 ; 2803463635 ;    0.03 ;         1 
 example_manual_taylm_symbolic                                ;  1 ; 2755661736 ;    0.10 ;         1 
 example_manual_linParamSys                                   ;  1 ; 4212301895 ;    0.02 ;         1 
 example_manual_linProbSys                                    ;  1 ; 1606943116 ;    0.01 ;         1 
