# date: 25-Aug-2025 12:55:09
# dateEnd: 25-Aug-2025 13:13:25
# hostsystem: Windows
# matlabversion: 25.1.0.2973910 (R2025a) Update 1
# coraversion: CORA v2025.2.0
# testSuite: short

                          fname                          ; ok ;    seed    ;  time ; checkTime 
 test_conZonotope_and                                    ;  1 ; 1712249840 ;  0.75 ;         1 
 test_conZonotope_cartProd                               ;  1 ;  967092392 ;  1.03 ;         1 
 test_conZonotope_conZonotope                            ;  1 ; 3670405337 ;  0.08 ;         1 
 test_conZonotope_contains                               ;  1 ; 3037129718 ;  0.14 ;         1 
 test_conZonotope_convHull                               ;  1 ; 3509543169 ;  1.19 ;         1 
 test_conZonotope_copy                                   ;  1 ;  890399426 ;  0.12 ;         1 
 test_conZonotope_cubMap                                 ;  1 ; 1524591939 ;  0.67 ;         1 
 test_conZonotope_deleteZeros                            ;  1 ;  154140610 ;  0.02 ;         1 
 test_conZonotope_dim                                    ;  1 ; 3610653858 ;  0.01 ;         1 
 test_conZonotope_empty                                  ;  1 ; 2672215850 ;  0.01 ;         1 
 test_conZonotope_generateRandom                         ;  1 ; 1480047108 ;  0.11 ;         1 
 test_conZonotope_generators                             ;  1 ;     284770 ;  0.01 ;         1 
 test_conZonotope_interval                               ;  1 ; 1529601165 ;  0.08 ;         1 
 test_conZonotope_isFullDim                              ;  1 ; 3547858527 ;  0.08 ;         1 
 test_conZonotope_isemptyobject                          ;  1 ; 2347155406 ;  0.02 ;         1 
 test_conZonotope_isequal                                ;  1 ; 4169264368 ;  0.84 ;         1 
 test_conZonotope_lift                                   ;  1 ;  743922554 ;  0.12 ;         1 
 test_conZonotope_minkDiff                               ;  1 ; 4221388174 ;  0.48 ;         1 
 test_conZonotope_origin                                 ;  1 ;  206178137 ;  0.15 ;         1 
 test_conZonotope_polygon                                ;  1 ; 2043374442 ;  9.84 ;         1 
 test_conZonotope_printSet                               ;  1 ; 3764609965 ;  0.09 ;         1 
 test_conZonotope_projVertices                           ;  1 ; 2195241494 ;  0.81 ;         1 
 test_conZonotope_representsa                            ;  1 ; 3072978569 ;  0.09 ;         1 
 test_conZonotope_supportFunc                            ;  1 ;  221713213 ;  0.30 ;         1 
 test_conZonotope_uminus                                 ;  1 ; 1315478814 ;  0.13 ;         1 
 test_conZonotope_uplus                                  ;  1 ;  151821406 ;  0.19 ;         1 
 test_conZonotope_vertices                               ;  1 ;  211123590 ;  0.37 ;         1 
 test_contSet_decompose                                  ;  1 ; 2389667519 ;  0.66 ;         1 
 test_contSet_generateRandom                             ;  0 ; 1689331501 ;  0.47 ;         1 
 test_contSet_times                                      ;  1 ; 3025107052 ;  0.03 ;         1 
 test_ellipsoid_and                                      ;  1 ; 1457398477 ;  0.94 ;         1 
 test_ellipsoid_cartProd                                 ;  1 ; 1599345244 ;  0.20 ;         1 
 test_ellipsoid_center                                   ;  1 ; 1637020935 ;  0.01 ;         1 
 test_ellipsoid_contains                                 ;  1 ; 1764897866 ;  0.71 ;         1 
 test_ellipsoid_copy                                     ;  1 ;  526963875 ;  0.02 ;         1 
 test_ellipsoid_dim                                      ;  1 ; 2235863832 ;  0.01 ;         1 
 test_ellipsoid_display                                  ;  1 ;  512442686 ;  0.05 ;         1 
 test_ellipsoid_distance                                 ;  1 ; 3058469189 ;  0.20 ;         1 
 test_ellipsoid_ellipsoid                                ;  1 ; 2344799481 ;  0.06 ;         1 
 test_ellipsoid_ellipsoidNorm                            ;  1 ; 1425205548 ;  0.06 ;         1 
 test_ellipsoid_empty                                    ;  1 ; 3931645268 ;  0.01 ;         1 
 test_ellipsoid_enclose                                  ;  0 ; 2068352679 ;  0.03 ;         1 
 test_ellipsoid_enclosePoints                            ;  1 ; 1816984559 ;  0.16 ;         1 
 test_ellipsoid_enlarge                                  ;  1 ; 1178936669 ;  0.03 ;         1 
 test_ellipsoid_generateRandom                           ;  1 ; 1998926938 ;  0.13 ;         1 
 test_ellipsoid_generators                               ;  1 ;  314023741 ;  0.09 ;         1 
 test_ellipsoid_intersectStrip                           ;  1 ; 2593964403 ;  0.05 ;         1 
 test_ellipsoid_interval                                 ;  1 ; 3133463513 ;  0.09 ;         1 
 test_ellipsoid_isFullDim                                ;  1 ;  259707175 ;  0.02 ;         1 
 test_ellipsoid_isIntersecting                           ;  1 ; 4157065132 ;  0.14 ;         1 
 test_ellipsoid_isemptyobject                            ;  1 ;  711474724 ;  0.01 ;         1 
 test_ellipsoid_isequal                                  ;  1 ; 1471753866 ;  0.01 ;         1 
 test_ellipsoid_lift                                     ;  1 ; 1151393860 ;  0.03 ;         1 
 test_ellipsoid_minkDiff                                 ;  0 ; 1304063754 ;  0.12 ;         1 
 test_ellipsoid_mtimes                                   ;  1 ; 2218006535 ;  1.17 ;         1 
 test_ellipsoid_ne                                       ;  1 ; 2430509757 ;  0.03 ;         1 
 test_ellipsoid_norm                                     ;  1 ; 3167133501 ;  0.06 ;         1 
 test_ellipsoid_or                                       ;  0 ; 3699205204 ;  0.03 ;         1 
 test_ellipsoid_origin                                   ;  1 ;  112152709 ;  0.06 ;         1 
 test_ellipsoid_plot                                     ;  1 ; 3930554923 ; 21.77 ;         1 
 test_ellipsoid_plotRandPoint                            ;  1 ; 2668651719 ;  0.45 ;         1 
 test_ellipsoid_plus                                     ;  1 ; 1841541842 ;  0.05 ;         1 
 test_ellipsoid_polygon                                  ;  1 ; 2943745769 ;  0.95 ;         1 
 test_ellipsoid_printSet                                 ;  1 ; 2320404801 ;  0.07 ;         1 
 test_ellipsoid_project                                  ;  1 ; 3379198037 ;  0.04 ;         1 
 test_ellipsoid_radius                                   ;  1 ;  984814205 ;  0.04 ;         1 
 test_ellipsoid_randPoint                                ;  1 ;  994962727 ;  0.10 ;         1 
 test_ellipsoid_rank                                     ;  1 ;   42419262 ;  0.01 ;         1 
 test_ellipsoid_reduce                                   ;  1 ; 2785441248 ;  0.02 ;         1 
 test_ellipsoid_representsa                              ;  1 ; 3190709740 ;  0.04 ;         1 
 test_ellipsoid_supportFunc                              ;  1 ;  222456432 ;  0.07 ;         1 
 test_ellipsoid_uminus                                   ;  1 ; 1476298850 ;  0.02 ;         1 
 test_ellipsoid_uplus                                    ;  1 ; 2666350997 ;  0.01 ;         1 
 test_ellipsoid_vertices                                 ;  1 ; 3259735366 ;  0.03 ;         1 
 test_ellipsoid_volume                                   ;  1 ; 2932059442 ;  0.02 ;         1 
 test_ellipsoid_zonotope                                 ;  0 ; 3628002599 ;  0.04 ;         1 
 test_emptySet_and                                       ;  1 ; 4166537814 ;  0.03 ;         1 
 test_emptySet_center                                    ;  1 ; 1121327035 ;  0.01 ;         1 
 test_emptySet_contains                                  ;  1 ;  716649520 ;  1.65 ;         1 
 test_emptySet_copy                                      ;  1 ; 3921527383 ;  0.01 ;         1 
 test_emptySet_dim                                       ;  1 ; 2863387105 ;  0.00 ;         1 
 test_emptySet_display                                   ;  1 ;   18206987 ;  0.03 ;         1 
 test_emptySet_empty                                     ;  1 ;   45884814 ;  0.01 ;         1 
 test_emptySet_emptySet                                  ;  1 ; 3958265177 ;  0.02 ;         1 
 test_emptySet_eq                                        ;  1 ; 2705814521 ;  0.12 ;         1 
 test_emptySet_generateRandom                            ;  1 ; 1754199037 ;  0.02 ;         1 
 test_emptySet_interval                                  ;  1 ; 3208477219 ;  0.03 ;         1 
 test_emptySet_isBounded                                 ;  1 ;  962477824 ;  0.01 ;         1 
 test_emptySet_isFullDim                                 ;  1 ; 3931706369 ;  0.01 ;         1 
 test_emptySet_isIntersecting                            ;  1 ; 3444225361 ;  0.03 ;         1 
 test_emptySet_isemptyobject                             ;  1 ; 2692962099 ;  0.00 ;         1 
 test_emptySet_isequal                                   ;  1 ;  538182900 ;  0.04 ;         1 
 test_emptySet_lift                                      ;  1 ; 1066056207 ;  0.04 ;         1 
 test_emptySet_mtimes                                    ;  1 ;  113689314 ;  0.04 ;         1 
 test_emptySet_ne                                        ;  1 ; 3174997588 ;  0.04 ;         1 
 test_emptySet_not                                       ;  1 ; 3006467350 ;  0.07 ;         1 
 test_emptySet_plot                                      ;  1 ; 1803625665 ;  0.76 ;         1 
 test_emptySet_plus                                      ;  1 ; 3241300954 ;  0.05 ;         1 
 test_emptySet_polygon                                   ;  1 ; 3761199305 ;  0.03 ;         1 
 test_emptySet_polytope                                  ;  1 ; 2713325375 ;  0.10 ;         1 
 test_emptySet_printSet                                  ;  1 ; 1869641282 ;  0.07 ;         1 
 test_emptySet_project                                   ;  1 ; 4252123268 ;  0.03 ;         1 
 test_emptySet_radius                                    ;  1 ; 3863647843 ;  0.01 ;         1 
 test_emptySet_randPoint                                 ;  1 ; 2249538354 ;  0.01 ;         1 
 test_emptySet_representsa                               ;  1 ; 2579081445 ;  0.01 ;         1 
 test_emptySet_supportFunc                               ;  1 ; 1966126931 ;  0.04 ;         1 
 test_emptySet_vertices                                  ;  1 ;  974091494 ;  0.01 ;         1 
 test_emptySet_volume                                    ;  1 ; 1431033766 ;  0.01 ;         1 
 test_fullspace_Inf                                      ;  1 ;  266817805 ;  0.02 ;         1 
 test_fullspace_and                                      ;  1 ; 1857219336 ;  0.12 ;         1 
 test_fullspace_box                                      ;  1 ; 4261258389 ;  0.01 ;         1 
 test_fullspace_center                                   ;  1 ; 3159122400 ;  0.01 ;         1 
 test_fullspace_contains                                 ;  1 ; 1583841915 ;  0.92 ;         1 
 test_fullspace_copy                                     ;  1 ; 3440284129 ;  0.01 ;         1 
 test_fullspace_dim                                      ;  1 ; 3650180203 ;  0.01 ;         1 
