# date: 06-Jun-2025 07:58:48
# dateEnd: 06-Jun-2025 09:29:25
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: long

                              fname                             ; ok ;    seed    ;  time  ; checkTime 
 testLong_polyZonotope_randPoint                                ;  1 ; 1032898401 ;   0.81 ;         1 
 testLong_polyZonotope_reduce                                   ;  1 ; 2985927279 ;  45.76 ;         0 
 testLong_polyZonotope_resolve                                  ;  1 ;   71285429 ;   2.98 ;         1 
 testLong_polyZonotope_restructure                              ;  1 ;  202947099 ;   0.60 ;         1 
 testLong_polyZonotope_split                                    ;  1 ; 3089260216 ;  61.60 ;         0 
 testLong_polyZonotope_subs                                     ;  1 ; 1865683888 ;   4.16 ;         0 
 testLong_polyZonotope_supportFunc                              ;  1 ; 2937582695 ;   1.75 ;         1 
 testLong_polyZonotope_zonotope                                 ;  1 ; 4167895147 ;   0.18 ;         1 
 testLong_polygon_minkDiff                                      ;  1 ;  881419323 ; 120.15 ;         1 
 testLong_polygon_quadMap                                       ;  1 ; 1135935116 ;  41.68 ;         1 
 testLong_polytope_and                                          ;  1 ;   59934041 ;   2.47 ;         1 
 testLong_polytope_box                                          ;  1 ; 3554025204 ;  12.95 ;         1 
 testLong_polytope_center                                       ;  1 ;  116265786 ;   0.23 ;         1 
 testLong_polytope_compact                                      ;  1 ; 1943542429 ;  20.52 ;         1 
 testLong_polytope_conZonotope                                  ;  1 ; 2498655726 ;   4.79 ;         1 
 testLong_polytope_contains                                     ;  1 ; 1960325539 ;   5.97 ;         0 
 testLong_polytope_dim                                          ;  1 ; 3085627542 ;   0.08 ;         1 
 testLong_polytope_enclosePoints                                ;  1 ; 3092044354 ;   0.13 ;         1 
 testLong_polytope_generateRandom                               ;  1 ; 2414587033 ;   0.88 ;         1 
 testLong_polytope_isBounded                                    ;  1 ;  171722154 ;   0.80 ;         1 
 testLong_polytope_isFullDim                                    ;  1 ; 1964015987 ;  11.59 ;         1 
 testLong_polytope_isIntersecting                               ;  1 ;   27717648 ;   0.82 ;         1 
 testLong_polytope_isequal                                      ;  1 ;  781367985 ;   7.02 ;         1 
 testLong_polytope_minkDiff                                     ;  1 ; 1809520854 ;   1.81 ;         1 
 testLong_polytope_normalizeConstraints                         ;  1 ;  487791510 ;   0.04 ;         1 
 testLong_polytope_plotRandPoint                                ;  1 ; 4182213995 ;   1.73 ;         1 
 testLong_polytope_plus                                         ;  1 ; 1203913816 ;   0.02 ;         1 
 testLong_polytope_polytope                                     ;  1 ; 3445534769 ;   0.35 ;         1 
 testLong_polytope_representsa                                  ;  1 ; 2508257708 ;   0.56 ;         1 
 testLong_polytope_supportFunc                                  ;  1 ;  899753595 ;   3.52 ;         1 
 testLong_polytope_volume                                       ;  1 ;  104556600 ;   2.20 ;         1 
 testLong_spectraShadow_and                                     ;  1 ; 2348114777 ;  36.39 ;         1 
 testLong_spectraShadow_cartProd                                ;  1 ; 1412406243 ;   8.83 ;         1 
 testLong_spectraShadow_center                                  ;  1 ;   47012672 ;   1.40 ;         1 
 testLong_spectraShadow_conPolyZono                             ;  1 ; 2729683545 ;   0.46 ;         1 
 testLong_spectraShadow_conZonotope                             ;  1 ;  705174708 ;   1.80 ;         1 
 testLong_spectraShadow_contains                                ;  1 ; 1698227573 ;   8.81 ;         0 
 testLong_spectraShadow_convHull                                ;  1 ; 3703832593 ;   7.99 ;         1 
 testLong_spectraShadow_dim                                     ;  1 ; 3358341583 ;   0.07 ;         1 
 testLong_spectraShadow_enclose                                 ;  1 ; 1162845195 ;   3.26 ;         1 
 testLong_spectraShadow_generateESumRep                         ;  1 ; 1156004854 ;  24.57 ;         1 
 testLong_spectraShadow_generateRandom                          ;  1 ; 3480713114 ;   3.31 ;         0 
 testLong_spectraShadow_isBounded                               ;  1 ;  807585681 ;   1.36 ;         1 
 testLong_spectraShadow_isFullDim                               ;  1 ; 4163841152 ;   3.38 ;         1 
 testLong_spectraShadow_plot                                    ;  1 ;  560139594 ;  38.94 ;         1 
 testLong_spectraShadow_polyZonotope                            ;  1 ; 3909415468 ;   1.68 ;         1 
 testLong_spectraShadow_polytope                                ;  1 ;  614078155 ;  87.45 ;         1 
 testLong_spectraShadow_supportFunc                             ;  1 ; 1712479128 ;   4.02 ;         1 
 testLong_spectraShadow_zonoBundle                              ;  1 ; 2685299402 ;   1.94 ;         1 
 testLong_spectraShadow_zonotope                                ;  1 ;  387759699 ;   1.67 ;         1 
 testLong_bernsteinPoly                                         ;  1 ; 2680513728 ;   2.53 ;         1 
 testLong_globalOptimizer                                       ;  1 ;  266657663 ;   7.01 ;         1 
 testLong_taylm_division                                        ;  1 ;  866097917 ;  34.66 ;         1 
 testLong_taylm_optimizer                                       ;  1 ; 1431036586 ;  34.68 ;         1 
 testLong_taylm_plot                                            ;  1 ; 2969298532 ;   6.77 ;         1 
 testLong_taylm_reexpand                                        ;  1 ;  977543095 ;   3.89 ;         1 
 testLong_zonoBundle_contains                                   ;  1 ; 2122633067 ;  17.80 ;         0 
 testLong_zonotope_and                                          ;  1 ; 1201965780 ;   6.28 ;         1 
 testLong_zonotope_box                                          ;  1 ; 1005503138 ;   0.22 ;         1 
 testLong_zonotope_cartProd                                     ;  1 ;  973568698 ;   5.32 ;         1 
 testLong_zonotope_center                                       ;  1 ;  307210357 ;   0.69 ;         1 
 testLong_zonotope_compact                                      ;  1 ; 3362705806 ;   3.19 ;         1 
 testLong_zonotope_contains                                     ;  1 ; 2930501681 ;  17.13 ;         0 
 testLong_zonotope_contains_SadraddiniTedrake                   ;  1 ;  702718029 ;   0.30 ;         1 
 testLong_zonotope_convHull                                     ;  1 ; 2093787440 ;  10.27 ;         1 
 testLong_zonotope_cubMap                                       ;  1 ; 2668465350 ;   4.53 ;         1 
 testLong_zonotope_dim                                          ;  1 ; 2821338699 ;   0.05 ;         1 
 testLong_zonotope_ellipsoid                                    ;  1 ; 4133455111 ;  30.41 ;         1 
 testLong_zonotope_enclose                                      ;  1 ; 2601225407 ;   1.06 ;         1 
 testLong_zonotope_intersectStrip                               ;  1 ; 2382179437 ;   1.39 ;         1 
 testLong_zonotope_isFullDim                                    ;  1 ;  396368185 ;   9.10 ;         1 
 testLong_zonotope_isequal                                      ;  1 ; 3080540371 ;   3.66 ;         1 
 testLong_zonotope_minkDiff                                     ;  1 ; 3815890348 ;  12.84 ;         1 
 testLong_zonotope_minkDiff_2                                   ;  1 ;  461306344 ;  10.54 ;         1 
 testLong_zonotope_minkDiff_RaghuramanKoeln                     ;  1 ; 3925955385 ;  24.03 ;         1 
 testLong_zonotope_minnorm                                      ;  1 ; 3105364171 ;   0.60 ;         1 
 testLong_zonotope_norm                                         ;  1 ;  556396100 ;  31.18 ;         1 
 testLong_zonotope_plus                                         ;  1 ; 3612397504 ;   1.08 ;         1 
 testLong_zonotope_polytope                                     ;  1 ; 1758825248 ;   3.58 ;         1 
 testLong_zonotope_projVertices                                 ;  1 ;  799091947 ;   0.33 ;         1 
 testLong_zonotope_project                                      ;  1 ; 3416893294 ;   1.18 ;         1 
 testLong_zonotope_quadMap                                      ;  1 ; 3542863894 ;   3.97 ;         1 
 testLong_zonotope_randPoint                                    ;  1 ; 3399667627 ;  30.80 ;         1 
 testLong_zonotope_reduce                                       ;  1 ; 2896701345 ;  14.86 ;         1 
 testLong_zonotope_representsa                                  ;  1 ; 4113963610 ;   1.05 ;         1 
 testLong_zonotope_simplex                                      ;  1 ;  800883005 ;   0.51 ;         1 
 testLong_zonotope_supportFunc                                  ;  1 ; 3696873397 ;  21.09 ;         1 
 testLong_zonotope_zonotope                                     ;  1 ;  887004103 ;   0.75 ;         1 
 testLong_zonotope_zonotopeNorm                                 ;  1 ;  827306037 ;   5.96 ;         1 
 testLong_converter_commonocean2cora_NYM                        ;  1 ; 2234242726 ;  16.04 ;         1 
 testLong_converter_powerSystem2cora_IEEE30                     ;  1 ; 4005462803 ; 225.29 ;         1 
 testLong_converter_powerSystem2cora_indexForSubsystems         ;  1 ;   16648948 ;  13.38 ;         1 
 testLong_spaceex2cora_hybrid_bouncingball                      ;  1 ; 2228709052 ;   2.64 ;         1 
 testLong_spaceex2cora_hybrid_flat_01                           ;  1 ;  171742239 ;   4.66 ;         1 
 testLong_spaceex2cora_hybrid_flat_02                           ;  1 ; 1300606369 ;   4.71 ;         1 
 testLong_spaceex2cora_hybrid_flat_03                           ;  1 ; 2459881616 ;   6.76 ;         1 
 testLong_spaceex2cora_hybrid_lowpass                           ;  1 ; 2593432712 ;  10.88 ;         1 
 testLong_spaceex2cora_hybrid_parallel_01                       ;  1 ; 3366136118 ;   4.99 ;         1 
 testLong_spaceex2cora_hybrid_parallel_02                       ;  1 ; 1122022810 ;  21.47 ;         1 
 testLong_spaceex2cora_hybrid_spacecraft                        ;  1 ; 3289993445 ;   7.60 ;         1 
 testLong_spaceex2cora_linear_building                          ;  1 ; 3468065086 ;   5.86 ;         1 
 testLong_spaceex2cora_nonlinear_vanDerPol                      ;  1 ; 2142636536 ;   2.55 ;         1 
 testLong_generateRandomVerify                                  ;  1 ;  695074298 ;   5.00 ;         1 
 testLong_GJKalgorithm                                          ;  1 ; 2572503964 ;  29.48 ;         1 
 testLong_contract                                              ;  1 ; 2596367191 ;   8.93 ;         1 
 testLong_updateCORApath                                        ;  1 ; 2586739933 ;  14.72 ;         1 
 testLong_sparseOrthMatrix                                      ;  1 ; 3796981919 ;   0.26 ;         1 
 testLong_hybridAutomaton_reach04_guard_intersection_techniques ;  1 ; 2683828947 ;  19.60 ;         1 
 testLong_hybridAutomaton_reach_02_powerTrain                   ;  1 ;  330031364 ;  40.44 ;         1 
 testLong_hybridAutomaton_reach_03_spacecraft                   ;  1 ;  154191679 ;  26.69 ;         1 
 testLong_parallelHybridAutomaton_mergeFlows_01                 ;  1 ;  797392065 ;   2.60 ;         1 
